"","question_id","series_date","total_n","Somewhat.Approve","Strongly.Approve","Somewhat.Disapprove","Strongly.Disapprove","Don.t.Know...No.Opinion"
"620445","LEG4_John_Moolenaar","2018-07-14T00:00:00.000Z",16,52,9,26,0,12
"620446","LEG4_John_Moolenaar","2018-07-15T00:00:00.000Z",11,24,0,12,23,40
"620447","LEG4_John_Moolenaar","2018-07-16T00:00:00.000Z",13,30,4,23,21,21
"620448","LEG4_John_Moolenaar","2018-07-17T00:00:00.000Z",8,15,8,8,26,43
"620449","LEG4_John_Moolenaar","2018-07-18T00:00:00.000Z",15,27,0,9,9,55
"620450","LEG4_John_Moolenaar","2018-07-19T00:00:00.000Z",10,35,0,19,6,41
"620451","LEG4_John_Moolenaar","2018-07-20T00:00:00.000Z",12,13,9,40,8,30
"620452","LEG4_John_Moolenaar","2018-07-21T00:00:00.000Z",11,20,13,5,13,49
"620453","LEG4_John_Moolenaar","2018-07-22T00:00:00.000Z",13,29,9,11,10,42
"620454","LEG4_John_Moolenaar","2018-07-23T00:00:00.000Z",8,16,0,16,55,13
"620455","LEG4_John_Moolenaar","2018-07-24T00:00:00.000Z",17,22,0,16,10,52
"620456","LEG4_John_Moolenaar","2018-07-25T00:00:00.000Z",14,11,0,8,25,56
"620457","LEG4_John_Moolenaar","2018-07-26T00:00:00.000Z",14,34,0,34,12,19
"620458","LEG4_John_Moolenaar","2018-07-27T00:00:00.000Z",11,18,10,13,43,17
"620459","LEG4_John_Moolenaar","2018-07-28T00:00:00.000Z",15,9,15,5,41,31
"620460","LEG4_John_Moolenaar","2018-07-29T00:00:00.000Z",10,15,0,51,27,7
"620461","LEG4_John_Moolenaar","2018-07-30T00:00:00.000Z",16,9,0,35,20,36
"620462","LEG4_John_Moolenaar","2018-07-31T00:00:00.000Z",18,13,8,24,23,32
"620463","LEG4_John_Moolenaar","2018-08-01T00:00:00.000Z",10,6,0,14,0,80
"620464","LEG4_John_Moolenaar","2018-08-02T00:00:00.000Z",19,18,0,31,43,8
"620465","LEG4_John_Moolenaar","2018-08-03T00:00:00.000Z",9,19,0,32,13,35
"620466","LEG4_John_Moolenaar","2018-08-04T00:00:00.000Z",8,11,7,12,14,55
"620467","LEG4_John_Moolenaar","2018-08-05T00:00:00.000Z",10,14,19,15,18,35
"620468","LEG4_John_Moolenaar","2018-08-06T00:00:00.000Z",4,0,14,0,20,66
"620469","LEG4_John_Moolenaar","2018-08-07T00:00:00.000Z",10,6,5,22,16,50
"620470","LEG4_John_Moolenaar","2018-08-08T00:00:00.000Z",10,15,0,25,0,60
"620471","LEG4_John_Moolenaar","2018-08-09T00:00:00.000Z",15,38,6,36,11,10
"620472","LEG4_John_Moolenaar","2018-08-10T00:00:00.000Z",8,17,0,19,42,23
"620473","LEG4_John_Moolenaar","2018-08-11T00:00:00.000Z",12,26,11,11,5,48
"620474","LEG4_John_Moolenaar","2018-08-12T00:00:00.000Z",15,12,3,31,9,46
"620475","LEG4_John_Moolenaar","2018-08-13T00:00:00.000Z",16,16,9,20,24,31
"620476","LEG4_John_Moolenaar","2018-08-14T00:00:00.000Z",15,23,4,17,16,41
"620477","LEG4_John_Moolenaar","2018-08-15T00:00:00.000Z",12,16,0,17,16,52
"620478","LEG4_John_Moolenaar","2018-08-16T00:00:00.000Z",11,22,5,26,25,22
"620479","LEG4_John_Moolenaar","2018-08-17T00:00:00.000Z",11,0,11,25,24,40
"620480","LEG4_John_Moolenaar","2018-08-18T00:00:00.000Z",14,21,7,10,11,52
"620481","LEG4_John_Moolenaar","2018-08-19T00:00:00.000Z",8,59,0,10,7,24
"620482","LEG4_John_Moolenaar","2018-08-20T00:00:00.000Z",9,6,0,28,7,59
"620483","LEG4_John_Moolenaar","2018-08-21T00:00:00.000Z",14,10,27,10,22,29
"620484","LEG4_John_Moolenaar","2018-08-22T00:00:00.000Z",12,23,0,14,22,41
"620485","LEG4_John_Moolenaar","2018-08-23T00:00:00.000Z",9,0,14,0,15,72
"620486","LEG4_John_Moolenaar","2018-08-24T00:00:00.000Z",9,14,11,17,29,29
"620487","LEG4_John_Moolenaar","2018-08-25T00:00:00.000Z",22,9,0,18,21,52
"620488","LEG4_John_Moolenaar","2018-08-26T00:00:00.000Z",14,38,0,24,0,38
"620489","LEG4_John_Moolenaar","2018-08-27T00:00:00.000Z",15,18,0,35,14,33
"620490","LEG4_John_Moolenaar","2018-08-28T00:00:00.000Z",14,12,0,13,37,37
"620491","LEG4_John_Moolenaar","2018-08-29T00:00:00.000Z",6,32,36,23,0,9
"620492","LEG4_John_Moolenaar","2018-08-30T00:00:00.000Z",14,33,0,23,21,23
"620493","LEG4_John_Moolenaar","2018-08-31T00:00:00.000Z",11,34,0,21,13,33
"620494","LEG4_John_Moolenaar","2018-09-01T00:00:00.000Z",12,12,16,11,14,46
"620495","LEG4_John_Moolenaar","2018-09-02T00:00:00.000Z",18,20,3,40,11,26
"620496","LEG4_John_Moolenaar","2018-09-03T00:00:00.000Z",21,22,4,3,25,45
"620497","LEG4_John_Moolenaar","2018-09-04T00:00:00.000Z",11,43,6,6,6,38
"620498","LEG4_John_Moolenaar","2018-09-05T00:00:00.000Z",14,22,6,13,38,21
"620499","LEG4_John_Moolenaar","2018-09-06T00:00:00.000Z",15,19,0,26,9,46
"620500","LEG4_John_Moolenaar","2018-09-07T00:00:00.000Z",17,10,7,29,11,43
"620501","LEG4_John_Moolenaar","2018-09-08T00:00:00.000Z",8,20,0,20,17,43
"620502","LEG4_John_Moolenaar","2018-09-09T00:00:00.000Z",11,21,11,31,0,38
"620503","LEG4_John_Moolenaar","2018-09-10T00:00:00.000Z",9,48,0,12,7,33
"620504","LEG4_John_Moolenaar","2018-09-11T00:00:00.000Z",19,5,5,26,17,47
"620505","LEG4_John_Moolenaar","2018-09-12T00:00:00.000Z",18,36,3,15,12,34
"620506","LEG4_John_Moolenaar","2018-09-13T00:00:00.000Z",13,11,5,35,35,14
"620507","LEG4_John_Moolenaar","2018-09-14T00:00:00.000Z",15,4,8,30,9,49
"620508","LEG4_John_Moolenaar","2018-09-15T00:00:00.000Z",13,21,13,20,11,35
"620509","LEG4_John_Moolenaar","2018-09-16T00:00:00.000Z",7,9,0,29,54,9
"620510","LEG4_John_Moolenaar","2018-09-17T00:00:00.000Z",18,13,11,27,15,35
"620511","LEG4_John_Moolenaar","2018-09-18T00:00:00.000Z",19,13,18,16,8,45
"620512","LEG4_John_Moolenaar","2018-09-19T00:00:00.000Z",12,38,5,18,6,34
"620513","LEG4_John_Moolenaar","2018-09-20T00:00:00.000Z",11,0,16,8,21,55
"620514","LEG4_John_Moolenaar","2018-09-21T00:00:00.000Z",12,25,5,12,34,24
"620515","LEG4_John_Moolenaar","2018-09-22T00:00:00.000Z",20,3,0,6,32,59
"620516","LEG4_John_Moolenaar","2018-09-23T00:00:00.000Z",17,25,4,14,4,54
"620517","LEG4_John_Moolenaar","2018-09-24T00:00:00.000Z",21,46,0,7,13,34
"620518","LEG4_John_Moolenaar","2018-09-25T00:00:00.000Z",10,6,0,26,26,42
"620519","LEG4_John_Moolenaar","2018-09-26T00:00:00.000Z",16,16,8,14,8,55
"620520","LEG4_John_Moolenaar","2018-09-27T00:00:00.000Z",13,41,0,22,6,31
"620521","LEG4_John_Moolenaar","2018-09-28T00:00:00.000Z",14,53,0,17,14,16
"620522","LEG4_John_Moolenaar","2018-09-29T00:00:00.000Z",14,30,9,8,6,48
"620523","LEG4_John_Moolenaar","2018-09-30T00:00:00.000Z",21,9,8,19,6,58
"620524","LEG4_John_Moolenaar","2018-10-01T00:00:00.000Z",14,21,0,36,4,39
"620525","LEG4_John_Moolenaar","2018-10-02T00:00:00.000Z",11,41,0,5,0,54
"620526","LEG4_John_Moolenaar","2018-10-03T00:00:00.000Z",8,7,0,15,7,72
"620527","LEG4_John_Moolenaar","2018-10-04T00:00:00.000Z",7,30,0,32,0,39
"620528","LEG4_John_Moolenaar","2018-10-05T00:00:00.000Z",14,10,0,13,9,69
"620529","LEG4_John_Moolenaar","2018-10-06T00:00:00.000Z",10,32,0,12,17,39
"620530","LEG4_John_Moolenaar","2018-10-07T00:00:00.000Z",8,30,0,31,7,32
"620531","LEG4_John_Moolenaar","2018-10-08T00:00:00.000Z",8,18,0,7,6,70
"620532","LEG4_John_Moolenaar","2018-10-09T00:00:00.000Z",16,35,0,36,0,29
"620533","LEG4_John_Moolenaar","2018-10-10T00:00:00.000Z",19,22,10,7,3,58
"620534","LEG4_John_Moolenaar","2018-10-11T00:00:00.000Z",14,39,0,20,3,38
"620535","LEG4_John_Moolenaar","2018-10-12T00:00:00.000Z",15,27,9,7,0,57
"620536","LEG4_John_Moolenaar","2018-10-13T00:00:00.000Z",14,21,0,21,0,58
"620537","LEG4_John_Moolenaar","2018-10-14T00:00:00.000Z",15,15,0,13,0,72
"620538","LEG4_John_Moolenaar","2018-10-15T00:00:00.000Z",11,36,0,40,5,19
"620539","LEG4_John_Moolenaar","2018-10-16T00:00:00.000Z",13,17,0,24,0,59
"620540","LEG4_John_Moolenaar","2018-10-17T00:00:00.000Z",20,23,0,31,21,25
"620541","LEG4_John_Moolenaar","2018-10-18T00:00:00.000Z",18,22,0,21,15,42
